provider_id,provider_name,provider_type,specialty,network_status,geographic_region,contract_start_date,contract_status,claims_submitted_ytd,last_update_date
38,PRV_0038,facility,imaging,out_of_network,northeast,2022-11-02,active,584,2026-08-10 12:34:39.879432
39,PRV_0039,group_practice,cardiology,in_network,south,2020-12-03,active,551,2026-08-10 12:34:39.879432
40,PRV_0040,group_practice,cardiology,preferred,west,2020-01-13,active,539,2026-08-10 12:34:39.879432
41,PRV_0041,urgent_care,emergency,in_network,south,2022-10-27,active,488,2026-08-10 12:34:39.879432
42,PRV_0042,urgent_care,psychiatry,in_network,west,2019-08-21,active,509,2026-08-10 12:34:39.879432
43,PRV_0043,hospital,psychiatry,preferred,south,2021-09-30,active,592,2026-08-10 12:34:39.879432
44,PRV_0044,individual_md,primary_care,in_network,west,2021-09-17,active,554,2026-08-10 12:34:39.879432
45,PRV_0045,individual_md,cardiology,in_network,south,2022-08-06,terminated,580,2026-08-10 12:34:39.879432
46,PRV_0046,individual_md,cardiology,in_network,midwest,2021-12-25,active,556,2026-08-10 12:34:39.879432
47,PRV_0047,facility,primary_care,pending_contract,south,2022-11-28,active,589,2026-08-10 12:34:39.879432
48,PRV_0048,individual_md,cardiology,in_network,midwest,2018-05-01,terminated,632,2026-08-10 12:34:39.879432
49,PRV_0049,hospital,primary_care,preferred,west,2020-09-03,active,567,2026-08-10 12:34:39.879432
50,PRV_0050,facility,cardiology,in_network,south,2023-08-24,active,614,2026-08-10 12:34:39.879432
51,PRV_0051,group_practice,cardiology,preferred,west,2018-11-13,terminated,561,2026-08-10 12:34:39.879432
52,PRV_0052,group_practice,cardiology,preferred,midwest,2020-03-21,active,542,2026-08-10 12:34:39.879432
53,PRV_0053,individual_md,primary_care,in_network,west,2018-05-16,active,547,2026-08-10 12:34:39.879432
54,PRV_0054,individual_md,orthopedics,in_network,west,2020-09-08,active,565,2026-08-10 12:34:39.879432
55,PRV_0055,hospital,lab,out_of_network,west,2023-09-13,active,555,2026-08-10 12:34:39.879432
56,PRV_0056,urgent_care,lab,in_network,northeast,2019-01-18,active,588,2026-08-10 12:34:39.879432
57,PRV_0057,group_practice,pharmacy,out_of_network,northeast,2021-05-14,active,550,2026-08-10 12:34:39.879432
58,PRV_0058,individual_md,psychiatry,in_network,south,2022-08-18,inactive,550,2026-08-10 12:34:39.879432
59,PRV_0059,group_practice,pharmacy,in_network,northeast,2022-08-07,under_review,584,2026-08-10 12:34:39.879432
60,PRV_0060,hospital,cardiology,out_of_network,south,2018-08-05,terminated,526,2026-08-10 12:34:39.879432
61,PRV_0061,individual_md,primary_care,in_network,northeast,2021-08-21,active,552,2026-08-10 12:34:39.879432
62,PRV_0062,hospital,primary_care,preferred,midwest,2019-05-12,active,596,2026-08-10 12:34:39.879432
63,PRV_0063,individual_md,orthopedics,pending_contract,midwest,2018-10-03,active,591,2026-08-10 12:34:39.879432
64,PRV_0064,individual_md,primary_care,in_network,northeast,2018-07-16,active,577,2026-08-10 12:34:39.879432
65,PRV_0065,facility,emergency,in_network,northeast,2022-03-13,active,518,2026-08-10 12:34:39.879432
66,PRV_0066,facility,orthopedics,in_network,midwest,2022-11-21,active,533,2026-08-10 12:34:39.879432
67,PRV_0067,hospital,cardiology,in_network,northeast,2020-11-05,active,539,2026-08-10 12:34:39.879432
68,PRV_0068,hospital,psychiatry,out_of_network,northeast,2018-08-21,active,543,2026-08-10 12:34:39.879432
69,PRV_0069,group_practice,primary_care,in_network,northeast,2022-06-08,active,562,2026-08-10 12:34:39.879432
70,PRV_0070,group_practice,psychiatry,preferred,south,2021-08-25,active,595,2026-08-10 12:34:39.879432
71,PRV_0071,hospital,psychiatry,out_of_network,south,2020-07-13,active,569,2026-08-10 12:34:39.879432
72,PRV_0072,individual_md,cardiology,in_network,west,2022-11-26,active,607,2026-08-10 12:34:39.879432
73,PRV_0073,hospital,imaging,preferred,northeast,2021-06-30,active,600,2026-08-10 12:34:39.879432
74,PRV_0074,facility,emergency,in_network,northeast,2019-10-24,active,583,2026-08-10 12:34:39.879432
75,PRV_0075,urgent_care,primary_care,out_of_network,midwest,2023-12-07,active,576,2026-08-10 12:34:39.879432
76,PRV_0076,group_practice,imaging,in_network,west,2022-08-04,active,578,2026-08-10 12:34:39.879432
77,PRV_0077,individual_md,primary_care,in_network,northeast,2023-02-20,active,555,2026-08-10 12:34:39.879432
78,PRV_0078,individual_md,orthopedics,in_network,west,2023-07-08,active,554,2026-08-10 12:34:39.879432
79,PRV_0079,individual_md,imaging,in_network,south,2018-11-19,active,556,2026-08-10 12:34:39.879432
80,PRV_0080,urgent_care,emergency,preferred,midwest,2019-12-10,active,572,2026-08-10 12:34:39.879432
81,PRV_0081,facility,orthopedics,in_network,west,2020-06-26,active,558,2026-08-10 12:34:39.879432
82,PRV_0082,urgent_care,cardiology,in_network,northeast,2018-05-22,active,563,2026-08-10 12:34:39.879432
83,PRV_0083,urgent_care,cardiology,in_network,south,2019-02-18,under_review,540,2026-08-10 12:34:39.879432
84,PRV_0084,individual_md,cardiology,in_network,midwest,2023-03-08,active,546,2026-08-10 12:34:39.879432
85,PRV_0085,individual_md,psychiatry,in_network,midwest,2023-07-22,active,523,2026-08-10 12:34:39.879432
86,PRV_0086,urgent_care,orthopedics,in_network,west,2023-07-17,terminated,564,2026-08-10 12:34:39.879432
87,PRV_0087,hospital,lab,out_of_network,south,2018-01-05,inactive,557,2026-08-10 12:34:39.879432
88,PRV_0088,urgent_care,imaging,preferred,northeast,2018-12-10,under_review,571,2026-08-10 12:34:39.879432
89,PRV_0089,individual_md,lab,preferred,south,2023-04-04,under_review,564,2026-08-10 12:34:39.879432
90,PRV_0090,facility,primary_care,in_network,northeast,2023-06-19,active,529,2026-08-10 12:34:39.879432
91,PRV_0091,urgent_care,primary_care,in_network,south,2018-02-01,active,578,2026-08-10 12:34:39.879432
92,PRV_0092,individual_md,pharmacy,preferred,midwest,2018-01-19,active,566,2026-08-10 12:34:39.879432
93,PRV_0093,urgent_care,cardiology,in_network,northeast,2019-06-21,active,494,2026-08-10 12:34:39.879432
94,PRV_0094,facility,primary_care,out_of_network,west,2019-11-06,active,572,2026-08-10 12:34:39.879432
95,PRV_0095,individual_md,orthopedics,in_network,south,2022-04-26,active,537,2026-08-10 12:34:39.879432
96,PRV_0096,individual_md,orthopedics,preferred,northeast,2023-01-10,active,542,2026-08-10 12:34:39.879432
97,PRV_0097,hospital,lab,in_network,midwest,2022-11-11,active,575,2026-08-10 12:34:39.879432
98,PRV_0098,individual_md,psychiatry,preferred,south,2019-11-29,active,567,2026-08-10 12:34:39.879432
99,PRV_0099,individual_md,cardiology,preferred,south,2019-09-29,inactive,551,2026-08-10 12:34:39.879432
100,PRV_0100,individual_md,orthopedics,in_network,midwest,2019-02-08,active,582,2026-08-10 12:34:39.879432
101,PRV_0101,facility,emergency,out_of_network,west,2023-10-04,terminated,547,2026-08-10 12:34:39.879432
102,PRV_0102,hospital,psychiatry,in_network,south,2019-06-01,under_review,602,2026-08-10 12:34:39.879432
103,PRV_0103,group_practice,imaging,preferred,south,2023-05-11,active,570,2026-08-10 12:34:39.879432
104,PRV_0104,facility,psychiatry,in_network,west,2022-09-30,active,538,2026-08-10 12:34:39.879432
105,PRV_0105,hospital,cardiology,in_network,midwest,2023-07-29,active,545,2026-08-10 12:34:39.879432
106,PRV_0106,group_practice,orthopedics,in_network,south,2022-01-03,active,522,2026-08-10 12:34:39.879432
107,PRV_0107,group_practice,primary_care,in_network,south,2021-10-29,active,569,2026-08-10 12:34:39.879432
108,PRV_0108,hospital,pharmacy,preferred,west,2018-08-30,active,555,2026-08-10 12:34:39.879432
109,PRV_0109,group_practice,cardiology,in_network,midwest,2020-03-10,active,558,2026-08-10 12:34:39.879432
110,PRV_0110,facility,emergency,pending_contract,midwest,2023-07-14,active,557,2026-08-10 12:34:39.879432
111,PRV_0111,hospital,lab,preferred,south,2019-07-30,active,506,2026-08-10 12:34:39.879432
112,PRV_0112,individual_md,emergency,in_network,west,2020-09-23,active,562,2026-08-10 12:34:39.879432
113,PRV_0113,urgent_care,emergency,out_of_network,midwest,2022-06-10,under_review,574,2026-08-10 12:34:39.879432
114,PRV_0114,group_practice,imaging,in_network,west,2020-08-16,terminated,543,2026-08-10 12:34:39.879432
115,PRV_0115,hospital,lab,preferred,midwest,2018-02-02,active,551,2026-08-10 12:34:39.879432
116,PRV_0116,urgent_care,cardiology,in_network,northeast,2022-07-21,active,528,2026-08-10 12:34:39.879432
117,PRV_0117,facility,primary_care,in_network,midwest,2018-05-23,terminated,516,2026-08-10 12:34:39.879432
118,PRV_0118,individual_md,cardiology,in_network,south,2021-05-08,terminated,527,2026-08-10 12:34:39.879432
119,PRV_0119,urgent_care,psychiatry,in_network,midwest,2022-11-04,under_review,548,2026-08-10 12:34:39.879432
120,PRV_0120,individual_md,orthopedics,in_network,northeast,2021-05-22,active,514,2026-08-10 12:34:39.879432
121,PRV_0121,group_practice,cardiology,in_network,south,2019-07-01,inactive,538,2026-08-10 12:34:39.879432
122,PRV_0122,group_practice,imaging,out_of_network,northeast,2020-09-27,active,550,2026-08-10 12:34:39.879432
123,PRV_0123,group_practice,imaging,in_network,south,2020-02-26,active,563,2026-08-10 12:34:39.879432
124,PRV_0124,individual_md,orthopedics,in_network,south,2023-04-19,active,575,2026-08-10 12:34:39.879432
125,PRV_0125,group_practice,primary_care,in_network,south,2020-04-10,under_review,572,2026-08-10 12:34:39.879432
126,PRV_0126,facility,primary_care,in_network,midwest,2022-12-30,active,555,2026-08-10 12:34:39.879432
127,PRV_0127,group_practice,primary_care,in_network,west,2020-05-30,active,588,2026-08-10 12:34:39.879432
128,PRV_0128,urgent_care,orthopedics,in_network,west,2019-06-20,active,536,2026-08-10 12:34:39.879432
129,PRV_0129,urgent_care,orthopedics,pending_contract,northeast,2023-08-16,inactive,573,2026-08-10 12:34:39.879432
130,PRV_0130,urgent_care,orthopedics,out_of_network,west,2022-05-19,active,615,2026-08-10 12:34:39.879432
131,PRV_0131,individual_md,orthopedics,in_network,midwest,2020-02-11,active,586,2026-08-10 12:34:39.879432
132,PRV_0132,facility,cardiology,in_network,south,2022-07-18,active,565,2026-08-10 12:34:39.879432
133,PRV_0133,hospital,orthopedics,out_of_network,south,2021-05-11,under_review,537,2026-08-10 12:34:39.879432
134,PRV_0134,individual_md,primary_care,preferred,midwest,2020-03-21,active,538,2026-08-10 12:34:39.879432
135,PRV_0135,group_practice,cardiology,in_network,south,2020-01-05,inactive,540,2026-08-10 12:34:39.879432
136,PRV_0136,urgent_care,primary_care,pending_contract,south,2020-03-27,active,551,2026-08-10 12:34:39.879432
137,PRV_0137,individual_md,primary_care,in_network,midwest,2020-10-08,active,549,2026-08-10 12:34:39.879432
138,PRV_0138,hospital,cardiology,preferred,south,2021-12-18,inactive,540,2026-08-10 12:34:39.879432
139,PRV_0139,facility,imaging,in_network,northeast,2023-10-05,terminated,574,2026-08-10 12:34:39.879432
140,PRV_0140,individual_md,orthopedics,in_network,west,2022-01-16,active,570,2026-08-10 12:34:39.879432
141,PRV_0141,facility,primary_care,pending_contract,midwest,2019-10-18,active,557,2026-08-10 12:34:39.879432
142,PRV_0142,group_practice,orthopedics,in_network,west,2020-08-22,terminated,603,2026-08-10 12:34:39.879432
143,PRV_0143,individual_md,imaging,preferred,west,2022-06-04,active,598,2026-08-10 12:34:39.879432
144,PRV_0144,individual_md,orthopedics,in_network,south,2018-03-06,active,589,2026-08-10 12:34:39.879432
145,PRV_0145,individual_md,primary_care,out_of_network,south,2022-02-14,active,517,2026-08-10 12:34:39.879432
146,PRV_0146,urgent_care,primary_care,preferred,midwest,2019-07-02,active,627,2026-08-10 12:34:39.879432
147,PRV_0147,urgent_care,primary_care,in_network,west,2022-09-25,active,573,2026-08-10 12:34:39.879432
148,PRV_0148,individual_md,pharmacy,pending_contract,northeast,2020-05-01,inactive,547,2026-08-10 12:34:39.879432
149,PRV_0149,individual_md,cardiology,in_network,northeast,2023-08-22,active,526,2026-08-10 12:34:39.879432
150,PRV_0150,individual_md,primary_care,in_network,west,2022-04-21,active,544,2026-08-10 12:34:39.879432
151,PRV_0151,facility,pharmacy,in_network,west,2021-04-24,active,560,2026-08-10 12:34:39.879432
152,PRV_0152,facility,orthopedics,out_of_network,west,2021-04-18,under_review,570,2026-08-10 12:34:39.879432
153,PRV_0153,individual_md,lab,preferred,northeast,2023-09-11,active,566,2026-08-10 12:34:39.879432
154,PRV_0154,individual_md,primary_care,in_network,south,2021-03-08,active,562,2026-08-10 12:34:39.879432
155,PRV_0155,urgent_care,pharmacy,in_network,south,2021-12-08,terminated,545,2026-08-10 12:34:39.879432
156,PRV_0156,hospital,lab,in_network,west,2023-09-25,terminated,542,2026-08-10 12:34:39.879432
157,PRV_0157,group_practice,emergency,in_network,midwest,2022-05-13,active,574,2026-08-10 12:34:39.879432
158,PRV_0158,group_practice,imaging,out_of_network,west,2020-04-08,active,531,2026-08-10 12:34:39.879432
159,PRV_0159,hospital,orthopedics,preferred,west,2023-03-07,terminated,574,2026-08-10 12:34:39.879432
160,PRV_0160,individual_md,primary_care,in_network,west,2019-07-29,active,577,2026-08-10 12:34:39.879432
161,PRV_0161,individual_md,orthopedics,preferred,west,2018-07-08,active,548,2026-08-10 12:34:39.879432
162,PRV_0162,individual_md,primary_care,in_network,south,2021-10-07,active,604,2026-08-10 12:34:39.879432
163,PRV_0163,hospital,psychiatry,in_network,west,2022-06-01,active,559,2026-08-10 12:34:39.879432
164,PRV_0164,individual_md,emergency,in_network,south,2018-11-05,active,566,2026-08-10 12:34:39.879432
165,PRV_0165,individual_md,orthopedics,in_network,south,2023-12-10,active,574,2026-08-10 12:34:39.879432
166,PRV_0166,facility,primary_care,out_of_network,midwest,2023-09-25,terminated,575,2026-08-10 12:34:39.879432
167,PRV_0167,hospital,psychiatry,out_of_network,northeast,2020-04-01,under_review,542,2026-08-10 12:34:39.879432
168,PRV_0168,group_practice,primary_care,in_network,south,2023-06-28,active,541,2026-08-10 12:34:39.879432
169,PRV_0169,hospital,imaging,out_of_network,northeast,2023-12-23,active,567,2026-08-10 12:34:39.879432
170,PRV_0170,group_practice,primary_care,in_network,midwest,2020-04-13,active,575,2026-08-10 12:34:39.879432
171,PRV_0171,group_practice,orthopedics,in_network,south,2018-01-22,active,591,2026-08-10 12:34:39.879432
172,PRV_0172,group_practice,lab,in_network,west,2019-05-07,terminated,557,2026-08-10 12:34:39.879432
173,PRV_0173,individual_md,emergency,in_network,northeast,2020-06-24,terminated,562,2026-08-10 12:34:39.879432
174,PRV_0174,individual_md,orthopedics,in_network,south,2018-12-18,active,572,2026-08-10 12:34:39.879432
175,PRV_0175,group_practice,primary_care,in_network,south,2018-06-25,active,581,2026-08-10 12:34:39.879432
176,PRV_0176,facility,lab,preferred,midwest,2018-12-27,active,571,2026-08-10 12:34:39.879432
177,PRV_0177,individual_md,lab,in_network,midwest,2018-10-17,active,542,2026-08-10 12:34:39.879432
178,PRV_0178,individual_md,imaging,preferred,west,2020-08-03,active,556,2026-08-10 12:34:39.879432
179,PRV_0179,individual_md,psychiatry,in_network,midwest,2018-07-09,active,566,2026-08-10 12:34:39.879432
180,PRV_0180,individual_md,emergency,in_network,south,2020-06-25,active,589,2026-08-10 12:34:39.879432
181,PRV_0181,group_practice,orthopedics,in_network,northeast,2021-02-12,terminated,547,2026-08-10 12:34:39.879432
182,PRV_0182,hospital,primary_care,preferred,west,2019-02-05,active,536,2026-08-10 12:34:39.879432
183,PRV_0183,facility,emergency,preferred,northeast,2019-07-05,active,591,2026-08-10 12:34:39.879432
184,PRV_0184,individual_md,primary_care,preferred,south,2018-04-08,active,539,2026-08-10 12:34:39.879432
185,PRV_0185,individual_md,imaging,in_network,northeast,2019-09-01,active,564,2026-08-10 12:34:39.879432
186,PRV_0186,individual_md,orthopedics,preferred,west,2023-08-28,active,533,2026-08-10 12:34:39.879432
187,PRV_0187,facility,psychiatry,preferred,west,2021-05-08,active,530,2026-08-10 12:34:39.879432
188,PRV_0188,hospital,emergency,in_network,northeast,2020-10-28,active,540,2026-08-10 12:34:39.879432
189,PRV_0189,urgent_care,emergency,in_network,south,2020-07-29,terminated,583,2026-08-10 12:34:39.879432
190,PRV_0190,individual_md,cardiology,in_network,west,2019-07-12,active,544,2026-08-10 12:34:39.879432
191,PRV_0191,group_practice,orthopedics,in_network,midwest,2023-11-11,inactive,590,2026-08-10 12:34:39.879432
192,PRV_0192,urgent_care,primary_care,preferred,south,2019-02-06,terminated,527,2026-08-10 12:34:39.879432
193,PRV_0193,individual_md,primary_care,preferred,midwest,2020-06-05,active,531,2026-08-10 12:34:39.879432
194,PRV_0194,individual_md,imaging,in_network,west,2022-12-20,active,569,2026-08-10 12:34:39.879432
195,PRV_0195,individual_md,imaging,in_network,south,2023-03-27,terminated,582,2026-08-10 12:34:39.879432
196,PRV_0196,urgent_care,orthopedics,out_of_network,midwest,2019-05-03,active,522,2026-08-10 12:34:39.879432
197,PRV_0197,individual_md,imaging,in_network,west,2020-08-31,active,571,2026-08-10 12:34:39.879432
198,PRV_0198,group_practice,emergency,out_of_network,northeast,2022-01-19,active,568,2026-08-10 12:34:39.879432
199,PRV_0199,hospital,imaging,in_network,northeast,2020-07-18,terminated,537,2026-08-10 12:34:39.879432
200,PRV_0200,urgent_care,cardiology,in_network,west,2023-12-01,terminated,557,2026-08-10 12:34:39.879432
201,PRV_0201,group_practice,primary_care,in_network,south,2018-12-02,under_review,558,2026-08-10 12:34:39.879432
202,PRV_0202,individual_md,primary_care,preferred,south,2023-06-09,inactive,555,2026-08-10 12:34:39.879432
203,PRV_0203,individual_md,primary_care,preferred,northeast,2023-02-04,active,525,2026-08-10 12:34:39.879432
204,PRV_0204,individual_md,primary_care,in_network,northeast,2020-12-19,active,550,2026-08-10 12:34:39.879432
205,PRV_0205,hospital,orthopedics,in_network,south,2021-01-07,active,573,2026-08-10 12:34:39.879432
206,PRV_0206,hospital,lab,out_of_network,midwest,2018-04-03,active,575,2026-08-10 12:34:39.879432
207,PRV_0207,individual_md,imaging,in_network,south,2021-06-14,active,569,2026-08-10 12:34:39.879432
208,PRV_0208,individual_md,orthopedics,in_network,west,2018-12-17,active,587,2026-08-10 12:34:39.879432
209,PRV_0209,individual_md,orthopedics,in_network,south,2023-02-14,terminated,561,2026-08-10 12:34:39.879432
210,PRV_0210,group_practice,psychiatry,in_network,south,2020-11-24,active,557,2026-08-10 12:34:39.879432
211,PRV_0211,individual_md,cardiology,preferred,midwest,2022-06-29,active,540,2026-08-10 12:34:39.879432
212,PRV_0212,individual_md,cardiology,out_of_network,northeast,2022-01-04,active,591,2026-08-10 12:34:39.879432
213,PRV_0213,group_practice,cardiology,in_network,west,2021-10-19,active,545,2026-08-10 12:34:39.879432
214,PRV_0214,individual_md,cardiology,pending_contract,northeast,2021-05-19,active,562,2026-08-10 12:34:39.879432
215,PRV_0215,facility,lab,in_network,south,2022-01-27,active,573,2026-08-10 12:34:39.879432
216,PRV_0216,hospital,pharmacy,preferred,northeast,2023-03-21,under_review,532,2026-08-10 12:34:39.879432
217,PRV_0217,individual_md,primary_care,in_network,south,2018-07-05,active,572,2026-08-10 12:34:39.879432
218,PRV_0218,group_practice,psychiatry,preferred,northeast,2019-11-25,active,567,2026-08-10 12:34:39.879432
219,PRV_0219,group_practice,imaging,preferred,northeast,2020-04-07,active,521,2026-08-10 12:34:39.879432
220,PRV_0220,individual_md,primary_care,pending_contract,northeast,2022-10-05,active,581,2026-08-10 12:34:39.879432
221,PRV_0221,hospital,emergency,preferred,northeast,2018-02-01,inactive,600,2026-08-10 12:34:39.879432
222,PRV_0222,individual_md,primary_care,out_of_network,south,2022-01-26,active,555,2026-08-10 12:34:39.879432
223,PRV_0223,facility,cardiology,pending_contract,west,2018-07-17,active,554,2026-08-10 12:34:39.879432
224,PRV_0224,hospital,primary_care,preferred,west,2021-02-07,active,535,2026-08-10 12:34:39.879432
225,PRV_0225,hospital,orthopedics,in_network,south,2018-02-27,active,544,2026-08-10 12:34:39.879432
226,PRV_0226,hospital,cardiology,in_network,midwest,2022-12-05,terminated,557,2026-08-10 12:34:39.879432
227,PRV_0227,urgent_care,primary_care,pending_contract,midwest,2020-05-09,under_review,518,2026-08-10 12:34:39.879432
228,PRV_0228,facility,orthopedics,in_network,west,2018-12-03,under_review,580,2026-08-10 12:34:39.879432
229,PRV_0229,individual_md,primary_care,preferred,south,2019-12-17,under_review,560,2026-08-10 12:34:39.879432
230,PRV_0230,urgent_care,lab,in_network,northeast,2018-06-12,active,557,2026-08-10 12:34:39.879432
231,PRV_0231,individual_md,lab,preferred,northeast,2018-07-20,active,552,2026-08-10 12:34:39.879432
232,PRV_0232,group_practice,primary_care,preferred,northeast,2021-06-17,active,540,2026-08-10 12:34:39.879432
233,PRV_0233,individual_md,emergency,out_of_network,midwest,2018-07-02,active,568,2026-08-10 12:34:39.879432
234,PRV_0234,hospital,cardiology,out_of_network,northeast,2019-01-19,active,565,2026-08-10 12:34:39.879432
235,PRV_0235,group_practice,emergency,out_of_network,northeast,2021-09-15,active,567,2026-08-10 12:34:39.879432
236,PRV_0236,facility,primary_care,out_of_network,south,2018-08-25,active,563,2026-08-10 12:34:39.879432
237,PRV_0237,facility,emergency,in_network,midwest,2023-06-09,active,517,2026-08-10 12:34:39.879432
238,PRV_0238,facility,lab,out_of_network,midwest,2021-02-24,active,560,2026-08-10 12:34:39.879432
239,PRV_0239,hospital,primary_care,in_network,west,2021-05-26,active,553,2026-08-10 12:34:39.879432
240,PRV_0240,urgent_care,primary_care,out_of_network,northeast,2019-06-09,active,571,2026-08-10 12:34:39.879432
241,PRV_0241,individual_md,imaging,in_network,west,2020-03-01,active,559,2026-08-10 12:34:39.879432
242,PRV_0242,hospital,cardiology,in_network,south,2020-07-20,active,615,2026-08-10 12:34:39.879432
243,PRV_0243,hospital,primary_care,out_of_network,midwest,2022-11-29,active,522,2026-08-10 12:34:39.879432
244,PRV_0244,hospital,imaging,pending_contract,west,2021-01-19,inactive,547,2026-08-10 12:34:39.879432
245,PRV_0245,facility,imaging,in_network,northeast,2020-07-02,active,562,2026-08-10 12:34:39.879432
246,PRV_0246,individual_md,psychiatry,in_network,west,2022-07-17,under_review,594,2026-08-10 12:34:39.879432
247,PRV_0247,group_practice,pharmacy,in_network,west,2023-11-07,active,579,2026-08-10 12:34:39.879432
248,PRV_0248,individual_md,cardiology,in_network,west,2020-02-16,active,536,2026-08-10 12:34:39.879432
249,PRV_0249,individual_md,cardiology,preferred,midwest,2020-10-22,active,600,2026-08-10 12:34:39.879432
250,PRV_0250,hospital,imaging,in_network,northeast,2021-08-02,active,531,2026-08-10 12:34:39.879432
251,PRV_0251,hospital,orthopedics,in_network,west,2022-11-20,active,535,2026-08-10 12:34:39.879432
252,PRV_0252,individual_md,imaging,preferred,south,2019-06-02,active,544,2026-08-10 12:34:39.879432
253,PRV_0253,individual_md,cardiology,out_of_network,south,2019-04-16,active,556,2026-08-10 12:34:39.879432
254,PRV_0254,facility,primary_care,out_of_network,west,2023-07-31,active,583,2026-08-10 12:34:39.879432
255,PRV_0255,group_practice,primary_care,preferred,south,2021-02-13,under_review,563,2026-08-10 12:34:39.879432
256,PRV_0256,hospital,cardiology,pending_contract,south,2022-02-16,active,546,2026-08-10 12:34:39.879432
257,PRV_0257,hospital,orthopedics,in_network,northeast,2023-03-04,active,577,2026-08-10 12:34:39.879432
258,PRV_0258,group_practice,emergency,out_of_network,northeast,2023-01-26,active,535,2026-08-10 12:34:39.879432
259,PRV_0259,facility,cardiology,in_network,south,2019-11-08,active,580,2026-08-10 12:34:39.879432
260,PRV_0260,facility,imaging,preferred,northeast,2023-05-25,active,535,2026-08-10 12:34:39.879432
